Year,GFDL,IPSL,HadGEM,CESM,MPI
1861,3.2072,-1.5732,1.5501,-1.8379,0.4397
1862,0.7551,2.9114,-8.4919,0.0526,1.6203
1863,-2.3294,-1.2726,-15.127,1.9949,4.1977
1864,1.2948,-0.5316,-7.4476,1.3053,0.5049
1865,-2.147,-7.9886,-2.5525,1.7891,3.3015
1866,-3.6422,-10.7014,-3.7978,2.6895,6.2747
1867,2.5629,5.5681,-23.2863,1.0126,0.4522
1868,-0.5444,10.3396,-19.5318,1.1563,-2.8472
1869,-3.2373,6.023,13.4117,2.5025,-0.7419
1870,-7.8257,-7.6268,45.7305,3.4687,2.3469
1871,0.1097,-4.6605,27.358,0.875,5.1362
1872,6.3236,3.0784,12.5115,-0.0586,1.1126
1873,1.1354,11.0929,-7.945,3.6392,0.2608
1874,-5.6384,2.919,1.7148,1.352,-2.698
1875,-14.6256,-10.4984,-7.9191,0.6434,-0.5117
1876,2.2664,-9.1293,-15.7172,-0.7612,-4.475
1877,4.7255,-0.6014,10.4293,-2.994,-4.2315
1878,10.1703,2.6768,14.2699,-2.6181,0.4425
1879,-1.065,0.8206,-7.8979,-2.8732,-2.7495
1880,3.5563,7.8582,-11.7643,-0.3879,-6.1201
1881,8.6754,-4.2975,-15.4384,-3.5704,-1.8312
1882,1.4102,-15.7696,-22.6894,-3.5998,1.2779
1883,-4.4835,-1.5478,-5.1308,-1.2846,5.8667
1884,-0.9177,0.5879,24.4197,-0.0657,3.7717
1885,-1.703,11.1598,16.2954,-0.114,0.3721
1886,3.7177,8.3449,-2.3364,-1.8537,7.1523
1887,6.4275,1.1703,-13.2611,-0.3101,9.2623
1888,0.1903,2.0101,-2.2498,0.9639,1.8831
1889,-0.0238,-1.3532,-9.4193,0.3553,-1.8142
1890,-8.3455,3.9626,-10.2714,-1.4713,1.5055
1891,-4.8625,1.6692,-2.8733,-3.1576,4.3263
1892,9.0449,-7.8677,6.7255,-3.5126,2.1918
1893,9.9238,-1.8853,-1.6925,-2.9992,-0.7061
1894,8.033,0.4158,-6.4827,-0.1158,-3.557
1895,-1.6122,5.2607,-6.3858,1.7965,1.5529
1896,-9.8867,7.6647,1.809,1.4801,3.0418
1897,11.0144,1.0702,-0.2395,1.1869,2.3099
1898,4.3942,10.3758,1.8924,2.5114,1.7927
1899,-6.9628,21.4394,18.1217,1.0682,5.4675
1900,1.3488,7.2394,16.5306,2.1762,6.4042
1901,6.7717,10.1802,-0.1425,1.2171,4.748
1902,6.2326,7.6683,14.2209,1.364,6.5405
1903,11.5881,-4.2309,23.9697,3.4419,3.6714
1904,10.9915,1.6202,-14.8782,1.5386,0.8018
1905,-6.2092,-3.6159,-18.7451,4.1691,2.9547
1906,-9.6115,-5.6714,-9.7684,7.2623,2.5344
1907,7.9776,3.4918,-22.1211,5.0055,2.0679
1908,5.7269,-6.4246,-5.7407,3.5209,9.8561
1909,1.5678,0.8298,-4.4682,0.9885,5.2714
1910,-4.9455,4.7321,1.1396,-2.4856,3.9919
1911,-13.0616,3.1658,-5.5084,-3.251,4.5901
1912,3.5986,-6.9271,-7.558,-1.4551,4.5215
1913,-3.4814,0.6079,-9.9505,1.7121,-1.8786
1914,-2.5534,-0.7712,-5.552,2.5167,-1.1806
1915,-4.2837,-4.402,-14.7982,2.3542,2.7417
1916,-9.4358,2.4421,-3.8551,1.5189,0.3754
1917,-4.3155,4.5707,11.2693,-0.0031,-1.9832
1918,3.4964,4.1786,-0.879,2.0366,2.0203
1919,2.1576,-8.792,-9.5892,3.137,0.312
1920,-5.187,13.0221,-9.8876,2.7963,-0.9489
1921,-2.9969,7.5259,-13.4478,4.9424,1.1704
1922,-3.1104,-2.3332,-5.8765,5.6836,3.2029
1923,0.0544,-7.8764,-4.542,2.5283,2.4429
1924,0.8942,-4.3452,-3.4852,0.6091,4.0277
1925,-4.6816,-0.5105,1.9817,1.0706,2.2735
1926,-12.9293,-10.2659,-0.1734,0.0344,-1.42
1927,-13.219,-20.644,-0.9316,-0.1062,6.2906
1928,7.8822,-7.0579,-2.7725,-0.429,4.2546
1929,-2.9646,-5.784,-11.6209,1.3524,2.11
1930,2.775,-17.2679,-6.3112,1.91,6.4813
1931,7.03,-8.8417,16.9512,1.3034,3.1233
1932,-8.9855,-13.9703,14.8316,0.7577,4.8471
1933,-12.0114,-12.9649,-8.0701,-2.1646,2.081
1934,3.0121,7.1764,-20.096,-2.7165,0.3824
1935,-4.8139,5.6238,-16.6679,-0.2652,-2.7655
1936,-19.9952,9.7456,-9.7022,-0.5839,-4.0558
1937,-18.2905,-7.032,8.2106,-0.7807,0.2595
1938,3.9414,-3.8811,1.4995,0.841,3.3069
1939,2.2887,-11.5396,1.834,0.7137,3.7814
1940,-4.5354,-1.1658,2.4741,-1.9528,0.6255
1941,-6.9715,-11.1119,1.1745,-3.043,-0.8055
1942,-9.4682,-7.3822,-4.0832,-3.0915,-5.1424
1943,9.5854,-2.1472,-19.6375,-4.0388,-1.8521
1944,-4.9983,-17.36,-15.2683,-3.1915,2.3801
1945,-19.0295,-11.4172,-6.9722,-1.3989,-1.0847
1946,-0.7786,-9.154,1.5094,-2.1324,1.6343
1947,-2.1377,-6.9278,-0.6041,-0.5794,2.4809
1948,-3.6925,5.7099,-1.0275,-0.6027,1.7118
1949,5.2925,-10.7551,-2.5168,-4.4787,3.6855
1950,3.863,-23.9465,7.4103,-6.3833,-1.8505
1951,-6.3937,-15.4955,11.1197,-5.5824,1.8352
1952,-15.3525,-10.0768,18.2503,-1.3014,1.563
1953,-0.5153,-8.8593,12.8054,-2.076,-3.6785
1954,4.1277,-16.1095,-0.8517,-2.9939,-3.3051
1955,7.9663,-13.408,8.5962,-4.2633,-1.8429
1956,4.5874,-6.5638,0.3214,-3.0832,-3.8007
1957,-10.1368,-7.0825,9.4328,-2.9811,-3.3762
1958,5.5503,4.0288,-2.2235,-3.3079,-2.3282
1959,1.5849,8.5776,-12.0578,-3.5818,-1.5383
1960,-12.4419,-7.4959,-15.9299,-3.5708,3.4041
1961,-17.8965,-23.1121,10.581,-2.8864,2.438
1962,-2.6014,-18.6638,9.6127,-0.4783,-4.5301
1963,3.9752,-7.3971,-7.0585,-1.003,-4.8138
1964,8.2141,-15.7212,-20.9374,-2.5438,-7.856
1965,-5.2942,-5.4655,0.7227,-4.6384,-2.5038
1966,-15.6758,-1.0401,-2.5014,-3.8567,1.2098
1967,3.4985,-4.8206,-10.9397,-2.1218,1.2339
1968,8.9702,-14.3269,-16.9425,-2.2169,0.0767
1969,7.1978,-7.096,-8.6189,-4.8586,-3.6511
1970,4.8193,-14.152,-3.274,-7.6515,1.9167
1971,5.8317,-13.6817,11.3771,-9.3366,-2.2102
1972,-2.869,-12.2578,11.6413,-7.1658,-4.2278
1973,-15.5161,-11.0381,35.4661,-3.4365,-4.1999
1974,-0.2418,-9.6085,0.4861,-6.2254,-4.4113
1975,9.4842,-10.7231,-15.1978,-6.9538,-1.71
1976,3.5372,-17.1427,-14.4321,-4.118,-2.087
1977,2.2554,-14.215,-11.5531,-6.4966,-5.9328
1978,5.2335,-18.8293,-22.288,-7.3675,-0.1433
1979,0.9451,-6.2611,-4.3112,-5.4709,1.7714
1980,4.7727,4.7633,-4.5913,-8.2053,-1.5847
1981,8.5503,3.1329,6.1142,-14.5441,-2.1085
1982,-2.1287,-12.6511,18.2581,-14.673,1.1624
1983,-9.3672,-20.9787,-8.5678,-13.315,-1.2629
1984,-8.1235,-12.1697,0.9735,-12.8718,-2.3548
1985,6.6842,-7.8002,1.9132,-10.6908,-5.8603
1986,-1.2355,11.9563,-12.5145,-6.6599,-1.3491
1987,-18.4636,-2.2763,-1.0629,-6.8815,-4.0799
1988,-13.948,-7.2917,-8.4647,-8.6796,-6.5966
1989,4.0919,-13.5459,-8.9038,-8.4638,-3.6
1990,1.1314,-18.0587,1.7912,-6.7016,-8.4377
1991,-6.1335,-16.0967,4.2649,-8.0397,-10.4346
1992,-13.7917,-10.6725,-4.4651,-7.315,-7.3189
1993,2.2485,-18.3604,-10.2865,-7.9011,-1.7899
1994,3.7051,-28.8478,14.6183,-7.606,-3.3127
1995,-4.1345,-15.3818,22.3767,-8.9949,-5.1684
1996,-17.9636,-12.1499,14.0746,-10.8831,-0.1818
1997,-8.1911,-7.7101,-4.4757,-11.27,-0.6204
1998,5.9074,-26.7648,-6.3273,-10.3395,-3.5462
1999,6.4283,-12.4114,-3.747,-12.3633,-8.5664
2000,-3.5514,-20.686,-11.6107,-12.3952,-7.309
2001,-7.7804,-25.6685,-21.0731,-11.9367,-2.9162
2002,-13.8874,-20.309,-5.2241,-10.9897,-5.101
2003,5.8726,-17.8595,12.4546,-9.4178,-5.1793
2004,0.5566,-25.2663,8.3829,-11.6013,-6.2925
2005,-2.6575,-22.0645,-10.6321,-16.7194,-1.4202
2006,-10.1263,-22.2507,-6.2666,-15.2603,-3.2277
2007,-18.2253,-11.4639,-8.97,-14.5701,-4.61
2008,3.873,-15.6807,-17.1262,-18.1578,-3.5069
2009,-1.9757,-22.2957,-9.156,-19.2298,-9.7491
